"SL No.","UPC Code","Item Name","Company Name","Category Name","Purchase Price","Sale Price",Category,Offer,"Available Quantity"
1,11804157670000,"Air Freshner -300ml",ACI,"Air Freshners",142,142,"Air Freshners",0,12
2,11804157680000,"Air Freshner-300ml","Kallol Group of Industries","Air Freshners",170,170,"Air Freshners",0,1
3,11804157700000,Airfreshner-325ml,,"Air Freshners",155,155,"Air Freshners",0,10
4,11804157710000,Baygon,China,"Pest Control",295,310,"Pest Control",0,4
5,11804157720000,"Canderal -300 Tablet","Merisant Group","Sugar Substitute",249,249,"Sugar Substitute",0,16
6,11804157730000,"Canderal -75gm","Merisant Group","Sugar Substitute",220,220,"Sugar Substitute",0,2
7,1,"Horlicks - 250g Jar","Gsk ",Food,200,210,Food,0,90
8,2,"Horlicks - 550g Jar","Gsk ",Food,300,320,Food,0,188
9,11804157760000,"Coffe Mate",Nestle,"Pantry Items",210,210,"Pantry Items",0,4
