"SL No.","UPC Code","Item Name","Company Name","Category Name","Purchase Price","Sale Price",Category,Offer,"Available Quantity"
60,11804158320000,"Surf Excel-Mini Pack",Uniliver,"Cloth Detergent",4.49,4.49,"Cloth Detergent",0,3
61,11804158330000,"Tea-200gm Ispahani",Isphani,"Pantry Items",72.5,72.5,"Pantry Items",0,1
62,11804158340000,"Tea-200gm Taza",Uniliver,"Pantry Items",76.92,76.92,"Pantry Items",0,36
63,11804158350000,"Tea-400gm Ispahani",Isphani,"Pantry Items",142,142,"Pantry Items",0,1
64,11804158360000,"Tea-400gm Sylon","Abul Khair","Pantry Items",148,148,"Pantry Items",0,5
65,11804158370000,"Tea-400gm Taza",Uniliver,"Pantry Items",149,149,"Pantry Items",0,23
66,11804158380000,"Tea-50Bag Ispahani",Isphani,"Pantry Items",67,67,"Pantry Items",0,19
67,11804158390000,"Tea-50Bag Taza",Uniliver,"Pantry Items",72.5,72.5,"Pantry Items",0,1
68,11804158400000,"Tea-Twinings-Earl Grey","Associated British Foods","Pantry Items",300,300,"Pantry Items",0,1
69,11804158410000,"Tissue-Napkin Bashundhara",Bashundhara,"Tissue Paper",39,39,"Tissue Paper",0,26
70,11804158420000,"Tissue-Napkin Meghna","Meghna Group","Tissue Paper",39,39,"Tissue Paper",0,1
71,11804158430000,"Toilet Tissue",Bashundhara,"Tissue Paper",13,13,"Tissue Paper",0,80
72,11804158440000,"Toilet Tissue (02)","Kallol Group of Industries","Tissue Paper",62,62,"Tissue Paper",0,1
73,11804158450000,"Toilet Tissue (03)","Meghna Group","Tissue Paper",14,14,"Tissue Paper",0,1
74,11804158460000,"Trix - 250ml Refill","Reckitt & Benckeiser Ltd","Dishwashing Detergent",31.5,31.5,"Dishwashing Detergent",0,1
75,11804158470000,"Trix 500ml Bottle","Reckitt & Benckeiser Ltd","Dishwashing Detergent",68,68,"Dishwashing Detergent",0,7
76,11804158480000,"Vim - 250ml Bottle",Uniliver,"Dishwashing Detergent",32.43,32.43,"Dishwashing Detergent",0,11
77,11804158490000,"Vim - 500ml Bottle",Uniliver,"Dishwashing Detergent",72.5,72.5,"Dishwashing Detergent",0,16
78,11804158500000,"Vim Powder 500gm Bottle",Uniliver,"Dishwashing Detergent",27,27,"Dishwashing Detergent",0,24
79,11804158510000,"Vim-325gm Bar",Uniliver,"Dishwashing Detergent",27,27,"Dishwashing Detergent",0,36
80,11804158520000,"Vixol White 500 ml (Thailand)",Thailand,"Floor Cleaner",110,110,"Floor Cleaner",0,2
81,11804158530000,"Wheel Powder-1kg",Uniliver,"Cloth Detergent",64,64,"Cloth Detergent",0,1
82,11804158540000,"Wheel Powder-500gm",Uniliver,"Cloth Detergent",34.68,34.68,"Cloth Detergent",0,12
83,11804158550000,"Zero Cal-100 Tablet","Square Foods Ltd","Sugar Substitute",115,115,"Sugar Substitute",0,1
84,11804158560000,"Zero Cal-Suger 75 Pices","Square Foods Ltd","Sugar Substitute",148,148,"Sugar Substitute",0,11
85,11804228600000,"Almonds (Kathbadam) - 100gm",Local,Grossary,85,85,Grossary,0,1
86,11804228610000,"Almonds (Kathbadam) - 250gm",Local,Grossary,212,212,Grossary,0,1
87,11804228650000,"Bin Bag (24x38) - Black",Local,"Cleaning Products",80,80,"Cleaning Products",0,1
88,11804228660000,"Bin Bag (28x52) - Black",Local,"Cleaning Products",80,80,"Cleaning Products",0,1
89,11804228740000,"Butter - 200gm",,Grossary,165,165,Grossary,0,1
90,11804228800000,"Cat Litter",,"Cat Food",500,500,"Cat Food",0,1
91,11804229180000,Garlic,Local,Cooking,110,110,Cooking,0,1
92,11804229240000,"Lifebuoy - 100gm-lemon",Local,Vegetables,25.78,25.78,Vegetables,0,23
93,11804229260000,"Me-O Dry Food",,"Cat Food",230,230,"Cat Food",0,1
94,11804229270000,"Me-O Wet Food (Can)",,"Cat Food",140,140,"Cat Food",0,1
95,11804229340000,"Puffed Rice - 1kg",Local,Snacks,105,105,Snacks,0,1
96,11804229360000,"Raisins (Kishmish) - 100gm",Local,Grossary,44,44,Grossary,0,1
97,11804229370000,"Raisins (Kishmish) - 250gm",Local,Grossary,110,110,Grossary,0,1
98,11804229460000,"Anti Cutter Deli - Small",Deli,Stationary,17.33,17.33,Stationary,0,6
99,11804229480000,"Anti Cutter SDI",SDI,Stationary,24,24,Stationary,0,11
100,11804229490000,"Anti Cutter SDI Blade 9MM",SDI,Stationary,7.22,7.22,Stationary,0,8
101,11804229520000,"Ball Pen Matador All Time",Matador,Stationary,4.27,4.27,Stationary,0,96
102,11804229530000,"Ball Pen Linc Glycer (Black)","Linc Glycer",Stationary,7.16,7.16,Stationary,0,6
103,11804229540000,"Battery Pencil - AA - Sony",Sony,Stationary,8.65,8.65,Stationary,0,50
104,11804229550000,"Battery Remote - AAA - Sony",Sony,Stationary,11.5,11.5,Stationary,0,60
105,11804229570000,"Battery Pencil - AA - Sun Light","Sun Light",Stationary,13,13,Stationary,0,30
106,11804229580000,"Battery Remote - AAA - Sun Light","Sun Light",Stationary,9.5,9.5,Stationary,0,30
107,11804229590000,"Binder Clip 3/4"" Inch - 12Pcs",,Stationary,17,17,Stationary,0,35
108,11804229600000,"Binder Clip 1"" Inch - 12Pcs",,Stationary,20.84,20.84,Stationary,0,33
109,11804229610000,"Binder Clip 2"" Inch - 12Pcs",,Stationary,60,60,Stationary,0,17
110,11804229620000,"Scale Steel - 12""",,Stationary,10.4,10.4,Stationary,0,29
111,11804229630000,"Scale Steel - 6""",,Stationary,6.5,6.5,Stationary,0,7
112,11804229660000,"Board Pin Plastic Box",Plastic,Stationary,14,14,Stationary,0,3
113,11804229690000,"CD YDD",YDD,Stationary,9.5,9.5,Stationary,0,50
114,11804229700000,"CD Melody",Melody,Stationary,11.5,11.5,Stationary,0,50
115,11804229710000,"CD Marker Twin Marker - Both Side",,Stationary,16,16,Stationary,0,21
116,11804229760000,"Carbon Paper Kores Both Sided",,Stationary,235,235,Stationary,0,7
117,11804229770000,"Correction Pen Huajie",Huajie,Stationary,18.34,18.34,Stationary,0,6
118,11804229780000,"Index File-2inch Huajie",Huajie,Stationary,75,75,Stationary,0,31
119,11804229790000,"Index File-3inch Huajie",Huajie,Stationary,73,73,Stationary,0,5
120,11804229810000,"Duster Cloth",,Stationary,12,12,Stationary,0,70
121,11804229820000,"Pen Holder Wood",,Stationary,135,135,Stationary,0,5
122,11807059840000,"Ball Pen Linc Glycer (Red)","Linc Glycer",Stationary,7.88,7.88,Stationary,0,11
123,11807059850000,"Ball Pen Linc Glycer (Green)","Linc Glycer",Stationary,7.8,7.8,Stationary,0,12
124,11807059860000,"Ball Pen Linc Glycer (Blue)","Linc Glycer",Stationary,7.8,7.8,Stationary,0,11
125,11807059870000,"Board Pin Plastic Box Big",Plastic,Stationary,37,37,Stationary,0,1
126,11807059880000,"Lux - 150gm",Uniliver,Soap,37.58,37.58,Soap,0,10
127,11807059890000,"Lux - 100gm",Uniliver,Soap,28.5,28.5,Soap,0,10
128,11807059900000,"Milk Powder-400gm Dano",Arla,"Pantry Items",219,219,"Pantry Items",0,11
