"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
80,11804228860000,Egg,Grossary,0,0,Local,0,0
81,11804157840000,"Facial Tissue","Tissue Paper",41.2,41.2,Bashundhara,29,29
82,11804157850000,"Facial Tissue (02)","Tissue Paper",0,0,"Kallol Group of Industries",0,0
83,11804157860000,"Facial Tissue (03)","Tissue Paper",0,0,"Meghna Group",0,0
84,11804228870000,"Fish - Ayer",Fish,0,0,Local,0,0
85,11804228880000,"Fish - Baim",Fish,0,0,Local,0,0
86,11804228890000,"Fish - Batashi",Fish,0,0,Local,0,0
87,11804228900000,"Fish - Bele",Fish,0,0,Local,0,0
88,11804228910000,"Fish - Boyal",Fish,0,0,Local,0,0
89,11804228920000,"Fish - Chitol",Fish,0,0,Local,0,0
90,11804228930000,"Fish - Grass Carp",Fish,0,0,Local,0,0
91,11804228940000,"Fish - Ilish",Fish,0,0,Local,0,0
92,11804228950000,"Fish - Kajuli",Fish,0,0,Local,0,0
93,11804228960000,"Fish - Katla",Fish,0,0,Local,0,0
94,11804228970000,"Fish - Kechki",Fish,0,0,Local,0,0
95,11804228980000,"Fish - Koi",Fish,0,0,Local,0,0
96,11804228990000,"Fish - Koral",Fish,0,0,Local,0,0
97,11804229000000,"Fish - Magor",Fish,0,0,Local,0,0
98,11804229010000,"Fish - Mola",Fish,0,0,Local,0,0
99,11804229020000,"Fish - Mrigel",Fish,0,0,Local,0,0
100,11804229030000,"Fish - Pabda",Fish,0,0,Local,0,0
101,11804229040000,"Fish - Pangash",Fish,0,0,Local,0,0
102,11804229050000,"Fish - Poa",Fish,0,0,Local,0,0
103,11804229060000,"Fish - Prawn(Medium)",Fish,0,0,Local,0,0
104,11804229070000,"Fish - Prawn(Small)",Fish,0,0,Local,0,0
105,11804229080000,"Fish - Puti",Fish,0,0,Local,0,0
106,11804229090000,"Fish - Rita",Fish,0,0,Local,0,0
107,11804229100000,"Fish - Rui",Fish,0,0,Local,0,0
108,11804229110000,"Fish - Shing",Fish,0,0,Local,0,0
109,11804229120000,"Fish - Shol",Fish,0,0,Local,0,0
110,11804229130000,"Fish - Shorputi",Fish,0,0,Local,0,0
111,11804229140000,"Fish - Silver Carp",Fish,0,0,Local,0,0
112,11804229150000,"Fish - Taki",Fish,0,0,Local,0,0
113,11804229160000,"Fish - Telapia",Fish,0,0,Local,0,0
114,11804229170000,"Fish - Tengra",Fish,0,0,Local,0,0
115,11804157870000,"Flower Broom","Cleaning Accessories",35,35,Local,1,1
116,11804229180000,Garlic,Cooking,110,110,Local,1,1
117,11804229190000,Gourd,Vegetables,0,0,Local,0,0
118,11804229200000,"Green Banana",Vegetables,0,0,Local,0,0
119,11804229210000,"Green Chilli",Vegetables,0,0,Local,0,0
120,11804229220000,"Green Papaya",Vegetables,0,0,Local,0,0
121,11804157880000,"Green Tea-60gm","Pantry Items",135,135,"Kazi & Kazi",4,4
122,11804157890000,"Harpic Flashmetic Comod Bar","Toilet Cleaner",90,90,"Reckitt & Benckeiser Ltd",10,10
123,11804157900000,"Harpic Liquid 750ml","Toilet Cleaner",90,90,"Reckitt & Benckeiser Ltd",30,30
